track_id,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,release_year
2QZ7WLBE8h2y1Y5Fb8RYbH,211360,75,0.622,0.712,5,-7.321,1,0.066,0.0573,0.0,0.13,0.487,140.025,3.522666666666667,2018
2BU6XXSG8SqiptRuj6EiLA,201856,55,0.605,0.72,7,-3.616,0,0.0481,0.159,0.0,0.956,0.296,141.954,3.3642666666666665,2019
3tv697PZNnaQN0Mn2zGhS5,237516,63,0.794,0.937,8,-2.44,0,0.0336,0.366,4.15e-06,0.962,0.826,134.012,3.9586,2019
7Cf2Hsy3cPlA4e115tElXv,186379,69,0.679,0.659,1,-6.039,1,0.0497,0.674,0.0,0.948,0.698,108.221,3.106316666666667,2020
3tc8Z4lGzOIwmIVftsxO6o,170877,70,0.714,0.632,9,-5.1,1,0.0312,0.292,0.0,0.812,0.402,93.052,2.84795,2020
5W1kqz2l1lDX77DXBMeXZg,170197,56,0.48,0.807,1,-7.402,1,0.195,0.356,0.0,0.626,0.537,153.61,2.8366166666666666,2020
6nI98wtHOJAYSASq22TCYu,249846,59,0.457,0.603,3,-7.729,1,0.0278,0.144,0.0,0.679,0.176,77.048,4.1641,2019
15Dl8e6gdR0I1IQn0M4SGi,151262,48,0.777,0.898,1,-3.395,1,0.0447,0.152,0.0,0.146,0.873,131.057,2.5210333333333335,2020
6lK3nCiigk34SGqEjpQoqO,173891,56,0.827,0.683,11,-5.113,0,0.0719,0.479,0.0,0.409,0.85,135.944,2.8981833333333333,2019
3WjSkl7VDWY1prwJw7dSG0,158969,57,0.394,0.918,7,-2.657,1,0.334,0.342,0.0,0.982,0.588,157.925,2.6494833333333334,2019
48CAeajgzcGJaVUSsXd7h0,161396,60,0.679,0.767,2,-5.058,0,0.133,0.69,0.0,0.805,0.603,112.901,2.6899333333333333,2019
6hqQPoB1yYKcLfByfxO8he,208154,50,0.548,0.846,6,-4.256,1,0.0741,0.0708,0.0,0.199,0.811,126.219,3.4692333333333334,2019
146Vb458Y5RbqEa0fYFPzm,193669,48,0.543,0.756,11,-3.755,0,0.235,0.445,0.0,0.95,0.566,153.996,3.2278166666666666,2019
23zmMwD99ROi9yhxqMxWil,180346,55,0.61,0.867,9,-3.94,1,0.176,0.471,0.0,0.83,0.717,81.023,3.0057666666666667,2020
4pnlRYoaaGu24SuC3et5Pv,190949,48,0.693,0.828,11,-4.374,1,0.076,0.162,0.0,0.686,0.81,124.841,3.1824833333333333,2019
3J5Pu25BODMex4Jpy4l6FL,174863,64,0.714,0.712,11,-4.403,1,0.0545,0.621,0.0,0.127,0.789,123.804,2.9143833333333333,2019
1jomN1tLiPE5eGd9siFJYE,164407,61,0.743,0.849,0,-3.638,1,0.0282,0.0515,0.0,0.506,0.883,128.034,2.7401166666666668,2021
2PWjKmjyTZeDpmOUa3a5da,181930,62,0.528,0.87,11,-3.123,1,0.0851,0.24,0.0,0.333,0.714,152.37,3.0321666666666665,2019
0MGVEYiPw80ZCSFrHk4g9M,167707,49,0.804,0.831,1,-6.092,1,0.0501,0.161,0.0,0.138,0.935,128.044,2.7951166666666665,2020
0j1tGcJJfq1nIs4i5GoHXv,231285,54,0.339,0.584,3,-7.423,1,0.0339,0.0391,0.0,0.0809,0.324,133.096,3.85475,2020
7ghI7Ocugk2XTdRe6uxDyS,156913,38,0.654,0.951,9,-2.935,0,0.0558,0.288,0.0,0.121,0.913,158.904,2.6152166666666665,2019
7rq1C7eeeTn1nnjJ0TbRU1,237191,47,0.361,0.435,2,-8.323,0,0.0272,0.096,0.0,0.138,0.235,78.448,3.9531833333333335,2020
2QCwoYDn4DRfjs4NhW2KpO,197952,58,0.701,0.867,10,-2.982,0,0.104,0.572,5.15e-06,0.788,0.937,169.898,3.2992,2019
5qMnAsvgTfHMd5KQpzpnA1,179099,47,0.57,0.889,0,-3.813,1,0.206,0.456,0.0,0.651,0.426,97.423,2.9849833333333335,2019
03UlGexCDqWJwZXGXLjgef,173952,40,0.805,0.632,11,-4.435,1,0.0402,0.53,0.0,0.425,0.675,106.04,2.8992,2020
2PqPSf3gtTED79rWGwVtYg,190244,61,0.605,0.812,11,-4.699,1,0.0403,0.515,0.0,0.419,0.451,110.081,3.170733333333333,2019
4HWV1Ltvzn1SKFjPiJByKg,188769,30,0.51,0.875,7,-2.969,1,0.0486,0.282,0.0,0.743,0.567,168.092,3.14615,2020
36P6ptTyxOggYgR2aoZiAl,158661,56,0.642,0.874,3,-3.162,1,0.128,0.439,0.0,0.0821,0.829,164.81,2.64435,2019
4pl0csAczZemDLdyNYOmxT,177805,64,0.751,0.697,0,-8.012,1,0.0581,0.223,0.0,0.924,0.555,141.427,2.963416666666667,2019
