track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,playlist_id,playlist_name,release_year
0tBbt8CrmxbjRP0pueQkyU,Wolves,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,5gQZvWM1o8NkQndueJtZcP,197993,2017-10-25,80,0.724,0.804,11,-4.614,0,0.0448,0.124,0.0,0.204,0.306,124.987,3.2998833333333333,56uBMvAujYa1ZLSqkYk6hg,final,2017
4hPpVbbakQNv8YTHYaOJP4,One Thing Right,64KEffDW9EtZ1y2vBYgq8T,Marshmello,4QAC6FquY8D0RXom13iE5J,181823,2019-06-21,73,0.659,0.625,4,-2.253,1,0.045,0.0644,0.0,0.582,0.442,88.042,3.0303833333333334,56uBMvAujYa1ZLSqkYk6hg,final,2019
6kwH41LJ6hfxlGn2c4oh6Y,Together,64KEffDW9EtZ1y2vBYgq8T,Marshmello,0xi4cOWPUHjctyYU8ypCOB,246760,2018-06-22,48,0.567,0.703,10,-2.08,0,0.0311,0.00114,0.921,0.101,0.309,142.019,4.112666666666667,56uBMvAujYa1ZLSqkYk6hg,final,2018
7jzldCBnJjpJM3epzJ85KE,Tongue Tied (with YUNGBLUD & blackbear),64KEffDW9EtZ1y2vBYgq8T,Marshmello,3NTBbNcEuBN3XKkUfk4pil,186024,2019-11-13,60,0.628,0.821,1,-2.721,0,0.0525,0.0208,0.0,0.426,0.465,93.001,3.1004,56uBMvAujYa1ZLSqkYk6hg,final,2019
4wXum3jZgEGLxScTygQ5US,Blocks,64KEffDW9EtZ1y2vBYgq8T,Marshmello,6opKASPALOkPwCfHvqIS9H,209577,2016-01-08,45,0.555,0.844,9,-2.096,0,0.0705,0.000163,0.00617,0.426,0.563,142.115,3.49295,56uBMvAujYa1ZLSqkYk6hg,final,2016
6r8k1vznHrzlEKYxL4dZEe,La Isla Bonita,6tbjWDEIzxoDsBA1FuhfPW,Madonna,6fmnT17jc2Sc69q3nza1eD,242733,1986-06-30,74,0.724,0.822,1,-4.374,0,0.0333,0.304,1.38e-05,0.0553,0.964,99.9,4.04555,56uBMvAujYa1ZLSqkYk6hg,final,1986
1z3ugFmUKoCzGsI6jdY4Ci,Like a Prayer,6tbjWDEIzxoDsBA1FuhfPW,Madonna,43lok9zd7BW5CoYkXZs7S0,342680,2009-09-18,73,0.624,0.842,5,-5.285,1,0.0376,0.264,2.11e-05,0.181,0.257,111.037,5.711333333333333,56uBMvAujYa1ZLSqkYk6hg,final,2009
1oHClQEgDmmbcEx12Kc5nZ,4 Minutes (feat. Justin Timberlake & Timbaland),6tbjWDEIzxoDsBA1FuhfPW,Madonna,43lok9zd7BW5CoYkXZs7S0,189693,2009-09-18,71,0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.767,113.029,3.16155,56uBMvAujYa1ZLSqkYk6hg,final,2009
6A8OnjnpShshNpcqWtZRjr,Papa Don't Preach,6tbjWDEIzxoDsBA1FuhfPW,Madonna,6fmnT17jc2Sc69q3nza1eD,268533,1986-06-30,66,0.833,0.934,5,-3.243,0,0.0313,0.343,7.55e-06,0.0521,0.964,121.879,4.47555,56uBMvAujYa1ZLSqkYk6hg,final,1986
2bZMOs3RjmhhGca6MEzjyl,Bitch I'm Madonna,6tbjWDEIzxoDsBA1FuhfPW,Madonna,5TAX07toYGN4AFshlKpmZb,227480,2015-03-10,59,0.722,0.63,3,-5.784,0,0.132,0.0485,0.000294,0.179,0.519,150.023,3.791333333333333,56uBMvAujYa1ZLSqkYk6hg,final,2015
